Index,Date,Name,Tweet
1,Wed Apr 29 01:12:14 +0000 2020,Yelena Y. Janjigian MD,#AACR20. Great news for people living with #cancer during #COVID19 #pandemic: pembrolizumab 400 mg every 6 wks granted accelerated approval by FDA today for all existing indications. #advocacy #PatientExperience
2,Wed Apr 29 01:12:21 +0000 2020,Alan Meng,"Just Out📣at @NEJM 📰In metastatic castration-resistant #prostatecancer that had disease progression while on enzalutamide or abiraterone &amp;had alterations in genes🧬w/a role in homologous recombination repair, olaparib was associated w/longer PFS‼️ #AACR20 https://t.co/UlM259rDgi https://t.co/xSv9nSagiN"
3,Wed Apr 29 01:12:28 +0000 2020,Bruno Larvol,"I am not sure what to make of the multiple presentations at #AACR20 that ask for slides to not be posted.  I am looking out for it and not posting images of the slides, but its a bit odd in the setting of a meeting that is completely online with free universal access."
4,Wed Apr 29 01:12:28 +0000 2020,Kimberly Gwaltney,Another great talk at the #AACR20 Predictive Biomarkers for Immunotherapeutics session on the use of #ctDNA to predict outcomes from immunotherapies earlier than scans based on RECIST criteria. We are also exploring this through a #TumorINFORMED approach. https://t.co/5E4pY8R5fW
5,Wed Apr 29 01:12:37 +0000 2020,6ustv,".@VirusesImmunity &amp; Anna Marie Pyle: A stem loop RNA that stimulates RIG-I activation delays tumor growth, extends survival, and prevents tumor recurrence. JEM’s cancer collection for #AACR20 (https://t.co/G1mQsSpTaZ) has summaries of articles in this PDF: https://t.co/Hec3sDfz71 https://t.co/opwHDK5OAQ"
6,Wed Apr 29 01:13:59 +0000 2020,"Sanaz Soltani, MD",Pre existing ESR1 mutations in early stage primary breast cancer predict failure of endocrine therapy and poor OS. This is important and should guide how we think about ER+ breast cancer. #aacr20 https://t.co/DC3ROEJt4l
7,Wed Apr 29 01:14:38 +0000 2020,Amy A. Baran,Please join us June 22-24 for #AACR20 Virtual Annual Meeting II. There will be thousands of proffered papers covering the spectrum of cancer research presented in minisymposia and in an e-poster platform. https://t.co/uizEwfiVlG
8,Wed Apr 29 01:15:22 +0000 2020,Alan Meng,TMB is an #immunotherapy biomarker with tumor type agnostic potential. The use of #TMB has been hindered by the fact that commercial labs measure TMB differently. Pleased to see the hard work of the TMB harmonization project presented today at #AACR20 and published in #JITC. https://t.co/w2AUTikbaM
9,Wed Apr 29 01:15:46 +0000 2020,NCI Treatment,"Evidence that supports TMB as a predictive biomarker is mounting, where studies in TMB-high tumors, such as melanoma or lung, reveal that elevated TMB have been associated with clinical benefit from #cancer immunotherapies. #AACR20 @d2merino https://t.co/xC1Qn0XzY9 https://t.co/pOfIKVU8s3"
10,Wed Apr 29 01:18:00 +0000 2020,gilberto lopes,"Dear Colleagues,
Thank you for a great couple of days of science, all of us at @OncoAlert 🚨are very grateful for your support &amp; for helping in keeping colleagues worldwide #OncoAlert!! Thank you #AACR20 &amp; look forward to Part 2⃣.
Ps. Numbers don't lie, this was a success! Kudos! https://t.co/F4edm9zrVC"
11,Wed Apr 29 01:18:46 +0000 2020,Pavel Reinoso,"#COVID19 #AACR20 #LCSM
TERAVOLT preliminary results by @marinagarassino. An amazing international effort to improve knowledge about #lungcancer &amp; COVID19.
198 pts evaluated with 34.6% of death rate.
Not specific anti-cancer treatment was associated w/ higher mortality #OncoAlert https://t.co/dWUKuoU1qi"
